 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso
8,78771E+12;SP ;AMERICANA ;BALSA ;RUA APARECIDA TOGNETTA BASSETTE, N. 1555, Apto 04, BL I ;204.000,00;204.000,00;0.00;Apartamento, 54.90 de área total, 49.03 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709407886
8,55554E+12;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 403, BL 24 VG 718 ;170.352,76;170.000,00;0.00;Apartamento, 90.53 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538515735
8,78771E+12;SP ;AMERICANA ;JARDIM DA BALSA II ;RUA APARECIDA TOGNETTA BASSETTE, N. 1555, Apto 31, BL C ;160.460,47;160.000,00;0.00;Apartamento, 66.39 de área total, 49.03 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710779864
8,44442E+12;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 401, 3 PAVIMENTO BL 03 VG N 973 ;167.182,72;165.700,00;0.00;Apartamento, 90.58 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423495632
8,78771E+12;SP ;AMERICANA ;JARDIM BOER I ;RUA SABEDORIA, N. 130, Apto 22, 3 PAV 2 ANDAR BL 06 ;187.979,43;185.960,00;0.00;Apartamento, 0.00 de área total, 44.23 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711922687
8,78771E+12;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 201, 1º PAVIMENTO - BLOCO 14 ;177.280,84;175.000,00;0.00;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707389511
8,78771E+12;SP ;AMERICANA ;JARDIM BOER I ;RUA SABEDORIA, N. 130, Apto 26, BL 04 ;188.550,99;185.200,00;0.00;Apartamento, 93.03 de área total, 44.23 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787712509953
8,44442E+12;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 401, BL 19 VAGA 674 ;176.761,94;172.680,30;0.00;Apartamento, 79.08 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424367352
1,44442E+12;SP ;AMERICANA ;MORADA DO SOL ;RUA JAPAO, N. 1245, ;1.143.000,00;1.055.515,86;0.00;Casa, 276.66 de área total, 276.66 de área privativa, 452.94 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444418595120
8,7877E+12;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 107, GLOBO 08 - ;177.359,11;163.000,00;0.00;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703645254
8,44441E+12;SP ;AMERICANA ;VILA MASSUCHETTO ;RUA CASEMIRO DE ABREU, N. 233, Apto 409,  PAV 04 ANDAR 03  QD R ;195.527,25;175.000,00;0.00;Apartamento, 76.59 de área total, 42.55 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413169309
8,78771E+12;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 206, BL 15 VG 780 ;177.215,29;158.000,00;0.00;Apartamento, 90.59 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706623030
8,55553E+12;SP ;AMERICANA ;BARROCA ;AVENIDA COMENDADOR THOMAZ FORTUNATO, N. 2000, Apto 401, PAV 3 BL11 ;159.658,51;141.000,00;0.00;Apartamento, 83.51 de área total, 83.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555528474971
8,78771E+12;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 203,  BL 21 ;189.932,11;167.163,00;0.00;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707583482
8,44443E+12;SP ;AMERICANA ;JARDIM RECANTO ;VIA FRANCISCO BOLDRINI, N. 100, Apto 204, BL 48 - MATRICULA ANTIGA VIA PROJETAD ;197.617,24;172.900,96;0.00;Apartamento, 74.71 de área total, 45.95 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444432535960
